2024-07-12 07:14:15 
2024-07-12 07:14:15 *******                      *******
2024-07-12 07:14:15 ******* перезапуск программы *******
2024-07-12 07:14:15 *******                      *******
2024-07-12 07:14:15 
2024-07-12 07:23:10 move_to_click
2024-07-12 07:23:15 move_to_click
2024-07-12 07:23:20 move_to_click
2024-07-12 07:23:27 move_to_click
2024-07-12 07:23:33 move_to_click
2024-07-12 07:23:37 move_to_click
2024-07-12 07:23:41 move_to_click
2024-07-12 07:23:46 move_to_click
2024-07-12 07:23:53 move_to_click
2024-07-12 07:23:59 move_to_click
2024-07-12 07:24:03 move_to_click
2024-07-12 07:24:07 move_to_click
2024-07-12 07:24:12 move_to_click
2024-07-12 07:24:18 move_to_click
2024-07-12 07:24:24 move_to_click
2024-07-12 07:24:28 move_to_click
2024-07-12 07:24:32 move_to_click
2024-07-12 07:24:37 move_to_click
2024-07-12 07:24:43 move_to_click
2024-07-12 07:24:49 move_to_click
2024-07-12 07:24:53 move_to_click
2024-07-12 07:24:57 move_to_click
2024-07-12 07:25:01 move_to_click
2024-07-12 07:25:08 move_to_click
2024-07-12 07:25:14 move_to_click
2024-07-12 07:25:18 move_to_click
2024-07-12 07:25:22 move_to_click
2024-07-12 07:25:27 move_to_click
2024-07-12 07:25:33 move_to_click
2024-07-12 07:25:40 move_to_click
2024-07-12 07:25:44 move_to_click
2024-07-12 07:25:48 move_to_click
2024-07-12 07:25:52 move_to_click
2024-07-12 07:25:59 move_to_click
2024-07-12 07:26:05 move_to_click
2024-07-12 07:26:09 move_to_click
2024-07-12 07:26:13 move_to_click
2024-07-12 07:26:18 move_to_click
2024-07-12 07:26:24 move_to_click
2024-07-12 07:26:30 move_to_click
2024-07-12 07:26:34 move_to_click
2024-07-12 07:26:38 move_to_click
2024-07-12 07:26:43 move_to_click
2024-07-12 07:26:49 move_to_click
2024-07-12 07:26:56 move_to_click
2024-07-12 07:27:00 move_to_click
2024-07-12 07:27:03 move_to_click
2024-07-12 07:27:08 move_to_click
2024-07-12 07:27:25 move_to_click
2024-07-12 07:27:29 move_to_click
2024-07-12 07:27:34 move_to_click
2024-07-12 07:27:40 move_to_click
2024-07-12 07:27:46 move_to_click
2024-07-12 07:27:50 move_to_click
2024-07-12 07:27:54 move_to_click
2024-07-12 07:27:55 move_to_click
2024-07-12 07:29:48 move_to_click
2024-07-12 07:29:53 move_to_click
2024-07-12 07:29:58 move_to_click
2024-07-12 07:30:05 move_to_click
2024-07-12 07:30:11 move_to_click
2024-07-12 07:30:15 move_to_click
2024-07-12 07:30:19 move_to_click
2024-07-12 07:30:24 move_to_click
2024-07-12 07:30:30 move_to_click
2024-07-12 07:30:35 move_to_click
2024-07-12 07:30:39 move_to_click
2024-07-12 07:30:43 move_to_click
2024-07-12 07:30:48 move_to_click
2024-07-12 07:30:54 move_to_click
2024-07-12 07:31:01 move_to_click
2024-07-12 07:31:05 move_to_click
2024-07-12 07:31:08 move_to_click
2024-07-12 07:31:13 move_to_click
2024-07-12 07:31:19 move_to_click
2024-07-12 07:31:26 move_to_click
2024-07-12 07:31:30 move_to_click
2024-07-12 07:31:33 move_to_click
2024-07-12 07:31:38 move_to_click
2024-07-12 07:31:44 move_to_click
2024-07-12 07:31:51 move_to_click
2024-07-12 07:31:55 move_to_click
2024-07-12 07:31:58 move_to_click
2024-07-12 07:32:03 move_to_click
2024-07-12 07:32:09 move_to_click
2024-07-12 07:32:15 move_to_click
2024-07-12 07:32:19 move_to_click
2024-07-12 07:32:22 move_to_click
2024-07-12 07:32:27 move_to_click
2024-07-12 07:32:34 move_to_click
2024-07-12 07:32:39 move_to_click
2024-07-12 07:32:43 move_to_click
2024-07-12 07:32:47 move_to_click
2024-07-12 07:32:52 move_to_click
2024-07-12 07:32:58 move_to_click
2024-07-12 07:33:04 move_to_click
2024-07-12 07:33:08 move_to_click
2024-07-12 07:33:12 move_to_click
2024-07-12 07:33:17 move_to_click
2024-07-12 07:33:23 move_to_click
2024-07-12 07:33:29 move_to_click
2024-07-12 07:33:33 move_to_click
2024-07-12 07:33:37 move_to_click
2024-07-12 07:33:42 move_to_click
2024-07-12 07:33:59 move_to_click
2024-07-12 07:34:02 move_to_click
2024-07-12 07:34:07 move_to_click
2024-07-12 07:34:14 move_to_click
2024-07-12 07:34:20 move_to_click
2024-07-12 07:34:24 move_to_click
2024-07-12 07:34:28 move_to_click
2024-07-12 07:34:29 move_to_click
2024-07-12 07:44:10 arena.battle_in_arena
2024-07-12 07:44:10 quantity_battles = 0
2024-07-12 07:44:11 go_in_hall_glory
2024-07-12 07:44:12 link_in_hall_glory = None
2024-07-12 07:44:12 hall_glory = Point(x=728, y=121)
2024-07-12 07:44:12 close = None
2024-07-12 07:44:12 hall_glory = Point(x=728, y=121)
2024-07-12 07:44:12 move_to_click
2024-07-12 07:44:19 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 07:44:19 hero_arena = , None
2024-07-12 07:44:19 поиск противника
2024-07-12 07:44:19 move_to_click
2024-07-12 07:44:21 move_to_click
2024-07-12 07:44:24 move_to_click
2024-07-12 07:44:26 move_to_click
2024-07-12 07:44:29 move_to_click
2024-07-12 07:44:31 move_to_click
2024-07-12 07:44:33 move_to_click
2024-07-12 07:44:36 move_to_click
2024-07-12 07:44:38 move_to_click
2024-07-12 07:44:40 move_to_click
2024-07-12 07:44:43 move_to_click
2024-07-12 07:44:45 move_to_click
2024-07-12 07:44:47 move_to_click
2024-07-12 07:44:50 move_to_click
2024-07-12 07:44:52 move_to_click
2024-07-12 07:44:55 move_to_click
2024-07-12 07:44:57 move_to_click
2024-07-12 07:45:00 move_to_click
2024-07-12 07:45:02  it = 18
2024-07-12 07:45:02 attack = Point(x=643, y=311)
2024-07-12 07:45:02 move_to_click
2024-07-12 07:45:04 link_arena = None
2024-07-12 07:45:05 link_arena = Point(x=388, y=168)
2024-07-12 07:45:05 безоружен
2024-07-12 07:45:06 in_battl = Point(x=272, y=598)
2024-07-12 07:45:06 move_to_click
2024-07-12 07:45:08 ожидание пропустить бой
2024-07-12 07:45:11 in_battle
2024-07-12 07:45:11 skip_battle = Point(x=386, y=121)
2024-07-12 07:45:11 пропускаем бой
2024-07-12 07:45:11 move_to_click
2024-07-12 07:45:13 ожидание close
2024-07-12 07:45:13 ожидание close
2024-07-12 07:45:14 ожидание close
2024-07-12 07:45:15 ожидание close
2024-07-12 07:45:15 ожидание close
2024-07-12 07:45:16 закрыть результат боя
2024-07-12 07:45:16 move_to_click
2024-07-12 07:45:19 arena.battle_in_arena
2024-07-12 07:45:19 quantity_battles = 1
2024-07-12 07:45:19 go_in_hall_glory
2024-07-12 07:45:20 link_in_hall_glory = None
2024-07-12 07:45:20 hall_glory = Point(x=728, y=121)
2024-07-12 07:45:20 close = None
2024-07-12 07:45:20 hall_glory = Point(x=728, y=121)
2024-07-12 07:45:20 move_to_click
2024-07-12 07:45:25 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 07:45:26 hero_arena = , None
2024-07-12 07:45:26 поиск противника
2024-07-12 07:45:26 move_to_click
2024-07-12 07:45:28 move_to_click
2024-07-12 07:45:31 move_to_click
2024-07-12 07:45:33 move_to_click
2024-07-12 07:45:35 move_to_click
2024-07-12 07:45:38 move_to_click
2024-07-12 07:45:40 move_to_click
2024-07-12 07:45:42 move_to_click
2024-07-12 07:45:44 move_to_click
2024-07-12 07:45:47 move_to_click
2024-07-12 07:45:49 move_to_click
2024-07-12 07:45:51 move_to_click
2024-07-12 07:45:53 move_to_click
2024-07-12 07:45:56 move_to_click
2024-07-12 07:45:58 move_to_click
2024-07-12 07:46:01 move_to_click
2024-07-12 07:46:03 move_to_click
2024-07-12 07:46:05 move_to_click
2024-07-12 07:46:07  it = 18
2024-07-12 07:46:07 attack = Point(x=643, y=311)
2024-07-12 07:46:07 move_to_click
2024-07-12 07:46:09 link_arena = None
2024-07-12 07:46:10 link_arena = Point(x=388, y=176)
2024-07-12 07:46:11 безоружен
2024-07-12 07:46:11 ожидание боя
2024-07-12 07:50:09 in_battl = Point(x=272, y=598)
2024-07-12 07:50:09 move_to_click
2024-07-12 07:50:11 ожидание пропустить бой
2024-07-12 07:50:13 in_battle
2024-07-12 07:50:14 skip_battle = Point(x=386, y=121)
2024-07-12 07:50:14 пропускаем бой
2024-07-12 07:50:14 move_to_click
2024-07-12 07:50:16 ожидание close
2024-07-12 07:50:16 ожидание close
2024-07-12 07:50:17 ожидание close
2024-07-12 07:50:17 ожидание close
2024-07-12 07:50:18 ожидание close
2024-07-12 07:50:19 закрыть результат боя
2024-07-12 07:50:19 move_to_click
2024-07-12 07:50:21 arena.battle_in_arena
2024-07-12 07:50:21 quantity_battles = 2
2024-07-12 07:50:22 go_in_hall_glory
2024-07-12 07:50:23 link_in_hall_glory = None
2024-07-12 07:50:23 hall_glory = Point(x=728, y=121)
2024-07-12 07:50:23 close = None
2024-07-12 07:50:23 hall_glory = Point(x=728, y=121)
2024-07-12 07:50:23 move_to_click
2024-07-12 07:50:28 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 07:50:28 hero_arena = , None
2024-07-12 07:50:28 поиск противника
2024-07-12 07:50:28 move_to_click
2024-07-12 07:50:31 move_to_click
2024-07-12 07:50:33 move_to_click
2024-07-12 07:50:36 move_to_click
2024-07-12 07:50:38 move_to_click
2024-07-12 07:50:40 move_to_click
2024-07-12 07:50:42 move_to_click
2024-07-12 07:50:45 move_to_click
2024-07-12 07:50:48 move_to_click
2024-07-12 07:50:50 move_to_click
2024-07-12 07:50:53 move_to_click
2024-07-12 07:50:55 move_to_click
2024-07-12 07:50:58 move_to_click
2024-07-12 07:51:00 move_to_click
2024-07-12 07:51:03 move_to_click
2024-07-12 07:51:05 move_to_click
2024-07-12 07:51:07 move_to_click
2024-07-12 07:51:10 move_to_click
2024-07-12 07:51:11  it = 18
2024-07-12 07:51:11 attack = Point(x=643, y=311)
2024-07-12 07:51:11 move_to_click
2024-07-12 07:51:13 link_arena = None
2024-07-12 07:51:15 link_arena = Point(x=388, y=176)
2024-07-12 07:51:15 безоружен
2024-07-12 07:51:16 ожидание боя
2024-07-12 07:55:11 in_battl = Point(x=272, y=598)
2024-07-12 07:55:11 move_to_click
2024-07-12 07:55:13 ожидание пропустить бой
2024-07-12 07:55:16 in_battle
2024-07-12 07:55:16 skip_battle = Point(x=386, y=121)
2024-07-12 07:55:16 пропускаем бой
2024-07-12 07:55:16 move_to_click
2024-07-12 07:55:18 ожидание close
2024-07-12 07:55:18 ожидание close
2024-07-12 07:55:19 ожидание close
2024-07-12 07:55:19 ожидание close
2024-07-12 07:55:20 ожидание close
2024-07-12 07:55:21 закрыть результат боя
2024-07-12 07:55:21 move_to_click
2024-07-12 07:55:24 arena.battle_in_arena
2024-07-12 07:55:24 quantity_battles = 3
2024-07-12 07:55:24 go_in_hall_glory
2024-07-12 07:55:25 link_in_hall_glory = None
2024-07-12 07:55:25 hall_glory = Point(x=728, y=121)
2024-07-12 07:55:25 close = None
2024-07-12 07:55:25 hall_glory = Point(x=728, y=121)
2024-07-12 07:55:25 move_to_click
2024-07-12 07:55:30 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 07:55:30 hero_arena = , None
2024-07-12 07:55:30 поиск противника
2024-07-12 07:55:31 move_to_click
2024-07-12 07:55:33 move_to_click
2024-07-12 07:55:35 move_to_click
2024-07-12 07:55:38 move_to_click
2024-07-12 07:55:40 move_to_click
2024-07-12 07:55:43 move_to_click
2024-07-12 07:55:45 move_to_click
2024-07-12 07:55:48 move_to_click
2024-07-12 07:55:50 move_to_click
2024-07-12 07:55:53 move_to_click
2024-07-12 07:55:55 move_to_click
2024-07-12 07:55:57 move_to_click
2024-07-12 07:55:59 move_to_click
2024-07-12 07:56:01 move_to_click
2024-07-12 07:56:04 move_to_click
2024-07-12 07:56:06 move_to_click
2024-07-12 07:56:08 move_to_click
2024-07-12 07:56:10 move_to_click
2024-07-12 07:56:12  it = 18
2024-07-12 07:56:13 attack = Point(x=643, y=311)
2024-07-12 07:56:13 move_to_click
2024-07-12 07:56:14 link_arena = None
2024-07-12 07:56:16 link_arena = Point(x=388, y=173)
2024-07-12 07:56:16 безоружен
2024-07-12 07:56:17 ожидание боя
2024-07-12 08:00:14 in_battl = Point(x=272, y=598)
2024-07-12 08:00:14 move_to_click
2024-07-12 08:00:16 ожидание пропустить бой
2024-07-12 08:00:19 in_battle
2024-07-12 08:00:19 skip_battle = Point(x=386, y=121)
