2024-08-21 00:00:01 link_arena = Point(x=428, y=161)
2024-08-21 00:00:01 безоружен
2024-08-21 00:00:03 ожидание боя
2024-08-21 00:00:35 in_battl = Point(x=312, y=588)
2024-08-21 00:00:35 move_to_click
2024-08-21 00:00:38 ожидание пропустить бой
2024-08-21 00:00:41 in_battle
2024-08-21 00:00:42 skip_battle = Point(x=426, y=111)
2024-08-21 00:00:42 пропускаем бой
2024-08-21 00:00:42 move_to_click
2024-08-21 00:00:44 ожидание close
2024-08-21 00:00:45 ожидание close
2024-08-21 00:00:46 ожидание close
2024-08-21 00:00:47 ожидание close
2024-08-21 00:00:48 ожидание close
2024-08-21 00:00:49 ожидание close
2024-08-21 00:00:50 ожидание close
2024-08-21 00:00:51 ожидание close
2024-08-21 00:00:51 ожидание close
2024-08-21 00:00:52 ожидание close
2024-08-21 00:00:53 ожидание close
2024-08-21 00:00:54 ожидание close
2024-08-21 00:00:55 ожидание close
2024-08-21 00:00:56 ожидание close
2024-08-21 00:00:57 ожидание close
2024-08-21 00:00:58 ожидание close
2024-08-21 00:00:59 ожидание close
2024-08-21 00:01:00 ожидание close
2024-08-21 00:01:01 ожидание close
2024-08-21 00:01:02 ожидание close
2024-08-21 00:01:03 ожидание close
2024-08-21 00:01:04 ожидание close
2024-08-21 00:01:05 ожидание close
2024-08-21 00:01:06 ожидание close
2024-08-21 00:01:07 ожидание close
2024-08-21 00:01:07 ожидание close
2024-08-21 00:01:08 ожидание close
2024-08-21 00:01:09 ожидание close
2024-08-21 00:01:10 ожидание close
2024-08-21 00:01:11 ожидание close
2024-08-21 00:01:12 ожидание close
2024-08-21 00:01:13 ожидание close
2024-08-21 00:01:14 ожидание close
2024-08-21 00:01:15 ожидание close
2024-08-21 00:01:16 ожидание close
2024-08-21 00:01:17 ожидание close
2024-08-21 00:01:18 ожидание close
2024-08-21 00:01:18 ожидание close
2024-08-21 00:01:19 ожидание close
2024-08-21 00:01:20 ожидание close
2024-08-21 00:01:21 ожидание close
2024-08-21 00:01:22 ожидание close
2024-08-21 00:01:23 ожидание close
2024-08-21 00:01:24 ожидание close
2024-08-21 00:01:25 ожидание close
2024-08-21 00:01:26 ожидание close
2024-08-21 00:01:26 ожидание close
2024-08-21 00:01:27 ожидание close
2024-08-21 00:01:28 ожидание close
2024-08-21 00:01:29 ожидание close
2024-08-21 00:01:30 ожидание close
2024-08-21 00:01:31 ожидание close
2024-08-21 00:01:32 ожидание close
2024-08-21 00:01:33 ожидание close
2024-08-21 00:01:33 ожидание close
2024-08-21 00:01:34 ожидание close
2024-08-21 00:01:35 ожидание close
2024-08-21 00:01:36 ожидание close
2024-08-21 00:01:37 ожидание close
2024-08-21 00:01:38 ожидание close
2024-08-21 00:01:39 ожидание close
2024-08-21 00:01:39 ожидание close
2024-08-21 00:01:40 ожидание close
2024-08-21 00:01:41 ожидание close
2024-08-21 00:01:42 ожидание close
2024-08-21 00:01:43 ожидание close
2024-08-21 00:01:44 ожидание close
2024-08-21 00:01:45 ожидание close
2024-08-21 00:01:45 ожидание close
2024-08-21 00:01:46 ожидание close
2024-08-21 00:01:47 ожидание close
2024-08-21 00:01:48 ожидание close
2024-08-21 00:01:49 ожидание close
2024-08-21 00:01:50 ожидание close
2024-08-21 00:01:51 ожидание close
2024-08-21 00:01:52 ожидание close
2024-08-21 00:01:52 ожидание close
2024-08-21 00:01:53 ожидание close
2024-08-21 00:01:54 ожидание close
2024-08-21 00:01:55 ожидание close
2024-08-21 00:01:56 ожидание close
2024-08-21 00:01:57 ожидание close
2024-08-21 00:01:58 ожидание close
2024-08-21 00:01:59 ожидание close
2024-08-21 00:02:00 ожидание close
2024-08-21 00:02:01 ожидание close
2024-08-21 00:02:02 ожидание close
2024-08-21 00:02:02 ожидание close
2024-08-21 00:02:03 ожидание close
2024-08-21 00:02:04 ожидание close
2024-08-21 00:02:05 ожидание close
2024-08-21 00:02:06 ожидание close
2024-08-21 00:02:07 ожидание close
2024-08-21 00:02:08 ожидание close
2024-08-21 00:02:09 ожидание close
2024-08-21 00:02:09 ожидание close
2024-08-21 00:02:10 ожидание close
2024-08-21 00:02:11 ожидание close
2024-08-21 00:02:12 ожидание close
2024-08-21 00:02:13 ожидание close
2024-08-21 00:02:14 ожидание close
2024-08-21 00:02:15 ожидание close
2024-08-21 00:02:16 ожидание close
2024-08-21 00:02:16 ожидание close
2024-08-21 00:02:17 ожидание close
2024-08-21 00:02:18 ожидание close
2024-08-21 00:02:19 ожидание close
2024-08-21 00:02:20 ожидание close
2024-08-21 00:02:21 ожидание close
2024-08-21 00:02:22 ожидание close
2024-08-21 00:02:23 ожидание close
2024-08-21 00:02:23 ожидание close
2024-08-21 00:02:24 ожидание close
2024-08-21 00:02:25 ожидание close
2024-08-21 00:02:26 ожидание close
2024-08-21 00:02:27 ожидание close
